aql,lower_val,higher_val,sample_qty
0.65,2,8,0
0.65,9,15,0
0.65,16,25,20
0.65,26,50,20
0.65,51,90,20
0.65,91,150,20
0.65,151,280,20
0.65,281,500,47
0.65,501,1200,47
0.65,1201,3200,53
0.65,3201,10000,68
0.65,10001,35000,77
0.65,35001,150000,96
0.65,150001,500000,119
0.65,500001,NULL,143
1.5,2,8,0
1.5,9,15,8
1.5,16,25,8
1.5,26,50,8
1.5,51,90,8
1.5,91,150,12
1.5,151,280,19
1.5,281,500,21
1.5,501,1200,27
1.5,1201,3200,35
1.5,3201,10000,38
1.5,10001,35000,46
1.5,35001,150000,56
1.5,150001,500000,64
1.5,500001,NULL,64
2.5,2,8,5
2.5,9,15,5
2.5,16,25,5
2.5,26,50,5
2.5,51,90,7
2.5,91,150,11
2.5,151,280,13
2.5,281,500,16
2.5,501,1200,19
2.5,1201,3200,23
2.5,3201,10000,29
2.5,10001,35000,35
2.5,35001,150000,40
2.5,150001,500000,40
2.5,500001,NULL,40
